,MONTH,DATE,SYMBOL,IND_CODE,BUY_PRICE,BACK_LOW,BACK_VWAP,CUM_RETURN (%),REALIZED_PCT (%),REALIZED_RETURN,ACTION
0,2015-01,2015-01-14,000776.SZ,4020,123.0267093,104.4343573,124.30839990000001,-15.11245168288021,1.041798652741839,-6.151335465,STOPSELL
1,2015-01,2015-01-08,600036.SH,4010,70.40982868,60.66636583,67.73803534,-13.838214113944646,-3.7946312185232376,-3.520491434,STOPSELL
2,2015-01,2015-01-12,000002.SZ,60,1704.5280059999998,1539.041269,1837.6413530000002,-9.70865461978216,7.809396298062376,-85.2264003,STOPSELL
3,2015-01,2015-01-14,601166.SH,4010,55.28382164,47.26753293,64.4905139,-14.500243420581294,16.653501850781236,-2.764191082,STOPSELL
4,2015-01,2015-01-06,600000.SH,4010,123.80015390000001,108.93958429999999,130.2597928,-12.003676192522098,5.21779553296662,-6.190007695000001,STOPSELL
5,2015-01,2015-01-06,002500.SZ,4020,26.84629696,15.89508439,21.68819827,-40.79226489342984,-19.21344570420784,-5.158098689999999,STOPSELL
6,2015-01,2015-01-06,601688.SH,4020,34.62916205,21.28567458,30.93339947,-38.53251618024641,-10.672399680546116,-3.6957625799999967,STOPSELL
7,2015-01,2015-01-06,600642.SH,55,86.23781482,49.23774018,52.85331529999999,-42.904698730166636,-38.712135261870735,-33.384499520000006,STOPSELL
8,2015-01,2015-01-06,000338.SZ,2010,132.32078700000002,112.7747434,127.3165291,-14.771710509853614,-3.7819136459640514,-6.616039350000001,STOPSELL
9,2015-01,2015-01-06,600011.SH,55,34.72095541,28.53289861,31.04344816,-17.822253814530047,-10.591607306234554,-3.677507250000002,STOPSELL
10,2015-02,2015-02-03,002001.SZ,35,304.74114510000004,250.4645994,259.3015102,-17.810704781000062,-14.910895896610596,-45.43963490000005,STOPSELL
11,2015-02,2015-02-03,601607.SH,35,251.74031969999996,185.5896891,211.38768599999997,-26.277328430674903,-16.02946788503661,-40.352633699999984,STOPSELL
12,2015-02,2015-02-03,600196.SH,35,379.6853099,282.82284599999997,335.60547169999995,-25.5112487563744,-11.609571677031596,-44.07983820000004,STOPSELL
13,2015-02,2015-02-04,000729.SZ,30,72.77885313,59.95719991,99.51207385,-17.61727846562454,36.732126943864074,-3.6389426565000003,STOPSELL
14,2015-02,2015-02-04,000917.SZ,25,234.33547990000002,151.9437658,214.89772180000003,-35.15972661722405,-8.294842124758418,-19.4377581,STOPSELL
15,2015-02,2015-02-03,000063.SZ,45,330.27714199999997,272.91348439999996,363.47774350000003,-17.368340192310377,10.052346129360675,-16.5138571,STOPSELL
16,2015-02,2015-02-04,000100.SZ,45,19.25749127,11.66032399,15.05189743,-39.45045163715138,-21.83874203049294,-4.205593839999999,STOPSELL
17,2015-02,2015-02-03,002008.SZ,45,305.41955310000003,218.41979320000002,227.4363996,-28.485327483769407,-25.53312409388109,-77.98315350000006,STOPSELL
18,2015-02,2015-02-04,600649.SH,60,102.5971882,96.84594552,98.01384389,-5.605653313606116,-4.467319612176273,-5.129859410000001,STOPSELL
19,2015-02,2015-02-03,000651.SZ,25,3066.1214210000003,2550.007352,2734.0486969999997,-16.8327994274823,-10.830384006504762,-332.07272400000056,STOPSELL
20,2015-03,2015-03-03,000413.SZ,45,56.36460154,47.31328909,53.22388839999999,-16.058505165829306,-5.572137572499567,-3.1407131400000097,STOPSELL
21,2015-03,2015-03-03,002456.SZ,45,343.1421631,244.00361980000002,264.9511586,-28.891390788111508,-22.78676680056168,-78.1910045,STOPSELL
22,2015-03,2015-03-03,000069.SZ,25,318.7133271,281.003813,374.33003360000004,-11.83179707077898,17.450386215744796,-15.935666355000002,STOPSELL
23,2015-03,2015-03-03,002008.SZ,45,381.6716579,322.819265,368.17625319999996,-15.419639284670092,-3.535867655003065,-19.083582895000003,STOPSELL
24,2015-03,2015-03-03,002500.SZ,4020,25.5293353,16.2449263,20.76425448,-36.367609618100786,-18.665119024857642,-4.765080819999998,STOPSELL
25,2015-03,2015-03-03,600497.SH,15,185.4854571,141.4700608,173.3919431,-23.729836822878333,-6.519925706887131,-12.093514,STOPSELL
26,2015-03,2015-03-03,000686.SZ,4020,265.4290969,186.862022,290.8990619,-29.600023440384167,9.595769754510288,-13.271454845000001,STOPSELL
27,2015-03,2015-03-03,600837.SH,4020,561.4287893,465.5176126,486.32954630000006,-17.083409067708093,-13.376450305235513,-75.09924299999989,STOPSELL
28,2015-03,2015-03-18,002001.SZ,35,233.18236209999998,217.8623961,233.2375616,-6.569950600907807,0.023672244977234806,-11.659118105,STOPSELL
29,2015-03,2015-03-09,600166.SH,2510,94.15526742,86.72570691,111.1974412,-7.890753978594564,18.100074745664184,-4.707763371,STOPSELL
30,2015-04,2015-04-02,002008.SZ,45,324.02687339999994,271.36651980000005,297.834053,-16.251847585182393,-8.083533357946466,-26.192820399999963,STOPSELL
31,2015-04,2015-04-02,600664.SH,35,72.43578051,65.04101434,77.8729513,-10.208720218013147,7.506194800026178,-3.6217890255,STOPSELL
32,2015-04,2015-04-02,002241.SZ,45,439.482744,414.3114997,428.0525523,-5.727470451035504,-2.6008283274030033,-21.9741372,STOPSELL
33,2015-04,2015-04-02,600839.SH,25,310.4330395,229.11060940000002,247.5368781,-26.19644810712875,-20.26078200352125,-62.89616140000001,STOPSELL
34,2015-04,2015-04-02,600398.SH,25,115.33128970000001,108.73587320000001,109.73778329999999,-5.718670550859191,-4.8499469784391245,-5.766564485000001,STOPSELL
