MONTH,PORTFOLIO_RETURN
2015-01,-156.384333366
2015-02,-588.8539954065006
2015-03,-237.94714103099992
2015-04,-138.6851046155
2015-05,-46.174265080500014
2015-06,-121.19402643699993
