,MONTH,DATE,SYMBOL,IND_CODE,BUY_PRICE,BACK_LOW,BACK_VWAP,CUM_RETURN (%),REALIZED_PCT (%),REALIZED_RETURN,ACTION
0,2015-01,2015-01-14,000776.SZ,4020,123.0267093,104.4343573,124.30839990000001,-15.11245168288021,1.041798652741839,-6.151335465,STOPSELL
1,2015-01,2015-01-05,600036.SH,4010,70.40982868,64.82290189,70.40982868,-7.934867751761737,0.0,-3.520491434,STOPSELL
2,2015-01,2015-01-12,000002.SZ,60,1704.5280059999998,1539.041269,1837.6413530000002,-9.70865461978216,7.809396298062376,-85.2264003,STOPSELL
3,2015-01,2015-01-14,601166.SH,4010,55.28382164,47.26753293,64.4905139,-14.500243420581294,16.653501850781236,-2.764191082,STOPSELL
4,2015-01,2015-01-06,600000.SH,4010,123.80015390000001,108.93958429999999,130.2597928,-12.003676192522098,5.21779553296662,-6.190007695000001,STOPSELL
5,2015-01,2015-01-05,002500.SZ,4020,26.84629696,23.65864776,26.84629696,-11.873701630990224,0.0,-1.342314848,STOPSELL
6,2015-01,2015-01-05,601688.SH,4020,34.62916205,24.97305247,34.62916205,-27.884329300425563,0.0,-1.7314581025,STOPSELL
7,2015-01,2015-01-05,600642.SH,55,86.23781482,74.51038739,86.23781482,-13.598938533493781,0.0,-4.311890741,STOPSELL
8,2015-01,2015-01-05,000338.SZ,2010,132.32078700000002,112.8873452,132.32078700000002,-14.686612920462771,0.0,-6.616039350000001,STOPSELL
9,2015-01,2015-01-05,600011.SH,55,34.72095541,32.62027205,34.72095541,-6.050188813050306,0.0,-1.7360477705000001,STOPSELL
10,2015-02,2015-02-02,002001.SZ,35,304.74114510000004,233.40407969999998,304.74114510000004,-23.40906915493508,0.0,-15.237057255000003,STOPSELL
11,2015-02,2015-02-02,601607.SH,35,251.74031969999996,149.5495194,251.74031969999996,-40.59373580751036,0.0,-12.587015984999999,STOPSELL
12,2015-02,2015-02-02,600196.SH,35,379.6853099,358.8026021,379.6853099,-5.500004149620642,0.0,-18.984265495,STOPSELL
13,2015-02,2015-02-04,000729.SZ,30,72.77885313,59.95719991,99.51207385,-17.61727846562454,36.732126943864074,-3.6389426565000003,STOPSELL
14,2015-02,2015-02-02,000917.SZ,25,234.33547990000002,210.49213160000002,234.33547990000002,-10.17487761997239,0.0,-11.716773995000002,STOPSELL
15,2015-02,2015-02-02,000063.SZ,45,330.27714199999997,266.0061262,330.27714199999997,-19.459722647109498,0.0,-16.5138571,STOPSELL
16,2015-02,2015-02-02,000100.SZ,45,19.25749127,12.36997751,19.25749127,-35.7653739183027,0.0,-0.9628745635,STOPSELL
17,2015-02,2015-02-03,002008.SZ,45,305.41955310000003,218.41979320000002,227.4363996,-28.485327483769407,-25.53312409388109,-77.98315350000006,STOPSELL
18,2015-02,2015-02-02,600649.SH,60,102.5971882,97.3715114,102.5971882,-5.093391828451691,0.0,-5.129859410000001,STOPSELL
19,2015-02,2015-02-02,000651.SZ,25,3066.1214210000003,2724.295355,3066.1214210000003,-11.148484324815657,0.0,-153.30607105,STOPSELL
20,2015-03,2015-03-02,000413.SZ,45,56.36460154,33.56058651,56.36460154,-40.45804353609558,0.0,-2.8182300770000004,STOPSELL
21,2015-03,2015-03-02,002456.SZ,45,343.1421631,237.17908930000002,343.1421631,-30.880225514321236,0.0,-17.157108155,STOPSELL
22,2015-03,2015-03-03,000069.SZ,25,318.7133271,281.003813,374.33003360000004,-11.83179707077898,17.450386215744796,-15.935666355000002,STOPSELL
23,2015-03,2015-03-02,002008.SZ,45,381.6716579,227.5110696,381.6716579,-40.39089230471257,0.0,-19.083582895000003,STOPSELL
24,2015-03,2015-03-02,002500.SZ,4020,25.5293353,19.87678456,25.5293353,-22.141394100456658,0.0,-1.2764667650000001,STOPSELL
25,2015-03,2015-03-02,600497.SH,15,185.4854571,108.4525256,185.4854571,-41.530442711996315,0.0,-9.274272855,STOPSELL
26,2015-03,2015-03-02,000686.SZ,4020,265.4290969,249.63744669999997,265.4290969,-5.949479685699078,0.0,-13.271454845000001,STOPSELL
27,2015-03,2015-03-03,600837.SH,4020,561.4287893,465.5176126,486.32954630000006,-17.083409067708093,-13.376450305235513,-75.09924299999989,STOPSELL
28,2015-03,2015-03-18,002001.SZ,35,233.18236209999998,217.8623961,233.2375616,-6.569950600907807,0.023672244977234806,-11.659118105,STOPSELL
29,2015-03,2015-03-02,600166.SH,2510,94.15526742,81.9772422,94.15526742,-12.933981872386674,0.0,-4.707763371,STOPSELL
30,2015-04,2015-04-01,002008.SZ,45,324.02687339999994,223.593277,324.02687339999994,-30.99545273703831,0.0,-16.201343669999996,STOPSELL
31,2015-04,2015-04-01,600664.SH,35,72.43578051,60.65101149,72.43578051,-16.269264908898265,0.0,-3.6217890255,STOPSELL
32,2015-04,2015-04-01,002241.SZ,45,439.482744,342.9109249,439.482744,-21.973972907568818,0.0,-21.9741372,STOPSELL
33,2015-04,2015-04-02,600839.SH,25,310.4330395,229.11060940000002,247.5368781,-26.19644810712875,-20.26078200352125,-62.89616140000001,STOPSELL
34,2015-04,2015-04-02,600398.SH,25,115.33128970000001,108.73587320000001,109.73778329999999,-5.718670550859191,-4.8499469784391245,-5.766564485000001,STOPSELL
35,2015-04,2015-04-01,002422.SZ,35,125.4404506,115.3511271,125.4404506,-8.043118030700064,0.0,-6.272022530000001,STOPSELL
36,2015-04,2015-04-01,002416.SZ,45,47.04962332,30.9025935,47.04962332,-34.31914791363733,0.0,-2.352481166,STOPSELL
